extractor,test_file_path,test_file_size,cores_used,time
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,1,0.12181496620178223
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,2,0.11737513542175293
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,3,0.12304496765136719
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,4,0.12564587593078613
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,5,0.12225985527038574
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,6,0.13287091255187988
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,7,0.13720488548278809
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,8,0.135209321975708
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,9,0.1289830207824707
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,10,0.14576101303100586
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,11,0.1331799030303955
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/49RY/49RY19930509.tsv,10099,12,0.15001487731933594
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,1,0.24216771125793457
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,2,0.14047884941101074
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,3,0.24188780784606934
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,4,0.14720988273620605
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,5,0.2485959529876709
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,6,0.25032711029052734
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,7,0.2792530059814453
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,8,0.28490495681762695
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,9,0.2850832939147949
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,10,0.28998708724975586
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,11,0.2970099449157715
tabular,/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/33GG/33GG20130609.tsv,1005001,12,0.2967109680175781
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,1,51.88765907287598
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,2,32.29980397224426
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,3,29.005176067352295
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,4,29.768353939056396
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,5,30.285130977630615
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,6,30.03847098350525
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,7,28.795902013778687
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,8,29.08559799194336
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,9,29.036217212677002
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,10,30.451669931411743
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,11,30.52786612510681
tabular,/Users/ryan/Desktop/oceans/LDEO_Database/Version_2011/LDEO_Database_V2011.csv,695033881,12,29.817734003067017
jsonxml,/Users/Ryan/Desktop/oceans/FerryBox_Roscoff_Plymouth/2012/35AQ20120425_PI_OME.xml,10443,1,0.004370927810668945
jsonxml,/Users/Ryan/Desktop/oceans/Moorings/LaPush_125W_48N/LaPush_125W_48N_May2011_Oct2011.xml,18667,1,0.003326892852783203
jsonxml,/Users/Ryan/Desktop/oceans/Benjamin/For_Stew/CdiacBundles/33OA/2014_OscarDyson_Metadata.xml,56329,1,0.00976109504699707
netcdf,/Users/ryan/Desktop/oceans/CLIVAR/ARC01_33HQ20150809/33HQ20150809_00002_00004_ctd.nc,10404,1,0.007058858871459961
netcdf,/Users/Ryan/Desktop/oceans/NDP_094/TALK_TCO2_pCO2_GLOB_Grid_Dat.nc,5020666,1,0.011929035186767578
netcdf,/Users/Ryan/Desktop/oceans/co2flux_1996_2004/co2flux_1996_2004_monthly.nc,27999588,1,0.001683950424194336
keyword,/Users/Ryan/Desktop/oceans/Bigelow_ECoast/HB2011_2012/hb1102_readme.txt,10195,1,0.07653999328613281
keyword,/Users/Ryan/Desktop/oceans/a15woce/a15do.pdf,10142625,1,12.839915752410889
keyword,/Users/Ryan/Desktop/oceans/CLIVAR/S04I_2013/49NZ20130106_do.pdf,71023855,1,428.824285030365
keyword_rake,/Users/Ryan/Desktop/oceans/Bigelow_ECoast/HB2011_2012/hb1102_readme.txt,10195,1,0.01891303062438965
keyword_rake,/Users/Ryan/Desktop/oceans/a15woce/a15do.pdf,10142625,1,5.3238139152526855
keyword_rake,/Users/Ryan/Desktop/oceans/CLIVAR/S04I_2013/49NZ20130106_do.pdf,71023855,1,252.30517888069153
